Hospitalizations - Total,Cases - Total,Deaths - Total,Date
12.0,163.0,2.0,03/10/2022
7.0,319.0,1.0,04/10/2022
63.0,826.0,13.0,12/12/2021
46.0,469.0,9.0,04/03/2021
16.0,166.0,0.0,10/09/2022
22.0,139.0,4.0,05/28/2021
26.0,204.0,4.0,10/03/2021
19.0,356.0,4.0,09/18/2020
7.0,69.0,2.0,07/11/2021
13.0,118.0,2.0,03/04/2022
28.0,348.0,3.0,07/28/2021
22.0,160.0,1.0,01/29/2023
17.0,108.0,6.0,09/20/2020
30.0,479.0,2.0,08/05/2021
26.0,468.0,0.0,02/22/2023
96.0,2807.0,14.0,12/14/2021
15.0,530.0,0.0,04/12/2022
29.0,259.0,2.0,03/24/2023
10.0,93.0,1.0,03/05/2022
31.0,110.0,20.0,06/07/2020
23.0,89.0,7.0,05/29/2021
27.0,277.0,6.0,03/20/2021
73.0,733.0,6.0,11/01/2020
13.0,159.0,0.0,04/19/2023
38.0,571.0,3.0,09/08/2022
14.0,221.0,0.0,08/30/2023
24.0,417.0,2.0,08/07/2020
18.0,240.0,10.0,02/21/2022
23.0,422.0,3.0,08/20/2020
29.0,592.0,2.0,08/12/2021
26.0,309.0,4.0,09/18/2021
26.0,160.0,0.0,02/25/2023
2.0,45.0,0.0,06/28/2023
4.0,186.0,6.0,03/01/2022
4.0,35.0,3.0,06/25/2021
47.0,338.0,16.0,01/24/2021
7.0,111.0,0.0,08/03/2023
6.0,47.0,0.0,06/23/2021
35.0,941.0,2.0,07/14/2022
25.0,391.0,0.0,09/17/2020
65.0,856.0,11.0,01/25/2021
53.0,582.0,17.0,01/29/2022
18.0,398.0,0.0,04/24/2022
22.0,358.0,4.0,02/15/2022
25.0,158.0,9.0,02/21/2021
28.0,240.0,0.0,11/12/2022
9.0,57.0,2.0,05/14/2023
93.0,771.0,29.0,05/20/2020
166.0,666.0,33.0,04/14/2020
28.0,428.0,3.0,08/03/2020
140.0,397.0,33.0,04/11/2020
10.0,106.0,0.0,08/12/2023
22.0,429.0,2.0,02/02/2023
2.0,80.0,0.0,07/19/2023
3.0,5.0,0.0,03/09/2020
29.0,386.0,7.0,11/13/2021
70.0,521.0,22.0,05/28/2020
8.0,37.0,0.0,05/21/2023
84.0,1203.0,13.0,12/05/2020
21.0,369.0,1.0,09/08/2020
27.0,478.0,2.0,02/27/2023
38.0,514.0,4.0,09/09/2021
8.0,87.0,0.0,07/27/2023
37.0,437.0,0.0,11/18/2022
24.0,614.0,2.0,10/24/2022
28.0,388.0,0.0,01/26/2023
24.0,308.0,1.0,03/28/2023
48.0,247.0,25.0,06/02/2020
49.0,569.0,1.0,11/01/2022
65.0,1114.0,21.0,01/02/2021
30.0,514.0,1.0,06/25/2022
