Household/family type,SERIALNO,INTP_adj
1,26347,0.0
3,26356,0.0
3,26356,0.0
3,26356,0.0
2,26390,0.0
2,26390,0.0
Other,26392,0.0
1,26401,0.0
1,26401,0.0
1,26401,0.0
1,26401,0.0
1,26401,0.0
3,26595,0.0
3,26595,0.0
1,26603,0.0
1,26603,0.0
1,26603,0.0
1,26603,0.0
1,26603,0.0
1,26603,0.0
1,26603,0.0
1,26682,0.0
1,26682,0.0
3,26696,0.0
3,26696,0.0
3,26696,0.0
3,26696,0.0
1,26740,0.0
1,26740,0.0
1,26740,0.0
3,26885,0.0
3,26885,0.0
3,26885,0.0
3,26885,0.0
3,26922,0.0
3,26922,0.0
3,26922,0.0
Other,26924,0.0
Other,26924,0.0
Other,26924,0.0
6,27043,Other
1,27118,0.0
1,27118,0.0
3,27142,0.0
3,27142,0.0
1,27166,0.0
1,27166,0.0
1,27166,0.0
1,27166,0.0
Other,27172,0.0
3,27252,0.0
3,27252,0.0
3,27252,0.0
3,27252,0.0
3,27252,0.0
3,27312,0.0
3,27312,0.0
6,27374,Other
6,27380,0.0
Other,27430,0.0
3,27547,0.0
3,27547,0.0
3,27547,0.0
3,27547,0.0
6,27612,0.0
3,27718,0.0
3,27718,0.0
1,27764,Other
1,27764,0.0
1,27821,Other
1,27821,0.0
Other,27828,0.0
Other,27828,0.0
Other,27853,0.0
1,28001,0.0
1,28001,0.0
3,28225,0.0
3,28225,0.0
3,28256,0.0
3,28256,0.0
1,28269,0.0
1,28269,0.0
1,28269,0.0
Other,28278,0.0
6,28285,0.0
3,28342,0.0
3,28342,0.0
3,28342,0.0
6,28395,0.0
3,28480,0.0
3,28480,0.0
3,28480,0.0
3,28480,0.0
3,28480,0.0
3,28480,0.0
6,28541,0.0
Other,28543,0.0
Other,28543,0.0
Other,28543,0.0
6,28552,0.0
6,28567,0.0
1,28675,0.0
1,28675,0.0
1,28675,0.0
Other,28774,0.0
Other,28774,0.0
1,28938,0.0
1,28938,0.0
1,28938,0.0
1,28938,0.0
1,28949,0.0
1,28949,0.0
1,28949,0.0
3,29005,0.0
3,29005,0.0
3,29005,0.0
1,29027,0.0
1,29027,0.0
1,29055,0.0
1,29055,0.0
1,29055,0.0
1,29055,0.0
1,29055,0.0
1,29088,Other
1,29088,Other
6,29124,0.0
Other,29441,0.0
1,29472,0.0
1,29472,0.0
3,29515,0.0
3,29515,0.0
3,29541,0.0
3,29541,0.0
3,29541,0.0
3,29541,0.0
1,29595,0.0
1,29595,0.0
1,29595,0.0
1,29595,0.0
1,29595,0.0
1,29595,0.0
6,29607,Other
1,29727,0.0
1,29727,0.0
1,29727,0.0
1,29850,0.0
1,29850,0.0
1,29850,0.0
1,29939,0.0
1,29939,0.0
3,30064,0.0
3,30064,0.0
3,30064,0.0
1,30180,Other
1,30180,0.0
3,30202,0.0
3,30202,0.0
3,30232,0.0
3,30232,0.0
3,30232,0.0
1,30245,0.0
1,30245,0.0
1,30296,0.0
1,30296,0.0
1,30296,0.0
6,30364,0.0
Other,30380,Other
Other,30439,Other
Other,30439,Other
Other,30441,Other
6,30443,0.0
6,30457,0.0
Other,30506,0.0
1,30527,Other
1,30527,0.0
Other,30555,0.0
3,30559,0.0
3,30559,0.0
3,30559,0.0
Other,30650,0.0
