School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1
P.S. 62 - QUEENS,Q,27,LSP DOMESTIC WATER HEATER REPLACEMENT,148607.82,CIP,Q062,97-25 108 STREET,Queens,11417,QUEENS,40.67641,-73.846773,410,32,4190727.0,4091550025.0,54,QN1002,"(40.67641, -73.846773)"
P.S. 273 - BROOKLYN,K,19,FULL PROGRAM ACCESSIBILITY,10424400.0,CIP,K273,923 JEROME STREET,Brooklyn,11229,BROOKLYN,40.60665,-73.939176,315,46,3239889.0,3084960100.0,666,BK1891,"(40.60665, -73.939176)"
P.S. 127 - QUEENS,Q,30,LSP- DOMESTIC HOT WATER HEATER,191011.57,CIP,Q127,98-01 25 AVENUE,Queens,11426,QUEENS,40.731729,-73.717859,413,23,4175739.0,4086160001.0,157101,QN1302,"(40.731729, -73.717859)"
P.S. 185 - BROOKLYN,K,20,COVID VENTILATION,1209512.0,CIP,K185,8601 RIDGE BOULEVARD,Brooklyn,11224,BROOKLYN,40.577217,-74.000194,313,47,3188726.0,3070060001.0,328,BK1302,"(40.577217, -74.000194)"
P.S. @ 760 EAST GUN HILL ROAD - BRONX,X,84,Lease,0.0,CAP,X511,760 EAST GUN HILL ROAD,Bronx,11220,BROOKLYN,40.649042,-74.012289,307,38,3011821.0,3007550022.0,80,BK0702,"(40.649042, -74.012289)"
P.S. 40 - QUEENS,Q,28,ROOF REPLACEMENT / WINDOWS,13678000.0,CIP,Q040,109-20 UNION HALL STREET,Queens,11691,QUEENS,40.593834,-73.76174,414,31,4467711.0,4158200001.0,99802,QN1401,"(40.593834, -73.76174)"
P.S. 146 - BRONX,X,8,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,398000.0,CIP,X146,968 CAULDWELL AVENUE,Bronx,10454,BRONX,40.813785,-73.92032,201,8,2097038.0,2023060054.0,43,BX0101,"(40.813785, -73.92032)"
Q811 SPED - QUEENS,Q,29,FULL PROGRAM ACCESSIBILITY / FIRE ALARM REPLACEMENT / FULL PROGRAM ACCESSIBILITY,13821000.0,CIP,Q822,114-36 202ND STREET,Queens,11368,QUEENS,40.750246,-73.867825,403,21,4043936.0,4017610035.0,40902,QN0303,"(40.750246, -73.867825)"
SUNSET PARK AVENUES ELEMENTARY SCHOOL - BROOKLYN,K,15,New,47695598.0,CAP,K557,4308 4 AVENUE,Brooklyn,11220,BROOKLYN,40.638773,-74.019612,307,38,3429067.0,3058097501.0,122,BK0703,"(40.638773, -74.019612)"
BRONX LAB SCHOOL - BRONX,X,11,EXTERIOR MASONRY / PARAPETS / WINDOWS / ROOFS / FLOOD ELIMINATION,49990000.0,CIP,X425,800 EAST GUN HILL ROAD,Bronx,10468,BRONX,40.870293,-73.898309,207,11,2015241.0,2032470070.0,409,BX0702,"(40.870293, -73.898309)"
NEVINS DAY CARE CENTER,K,15,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,2220167.0,CIP,KBGZ,460 ATLANTIC AVENUE,Brooklyn,10038,MANHATTAN,40.71276,-73.997489,103,1,1003375.0,1002790040.0,27,MN0301,"(40.71276, -73.997489)"
