AREA,DISTRICT,SAFETY
area_1,Other,51.9
area_4,Other,53.34
area_5,25.0,55.65
,,61.58
area_3,Other,73.09
area_5,Other,63.12
area_4,Other,61.8
area_3,Other,58.58
area_2,Other,60.97
area_3,Other,61.43
area_5,Other,62.38
area_2,Other,50.13
area_4,Other,56.3
area_3,Other,69.24
area_4,Other,54.28
Other,,65.88
area_5,Other,67.05
area_4,Other,48.74
area_2,Other,58.33
area_4,Other,45.08
area_3,Other,72.76
area_4,Other,53.22
area_3,Other,62.61
area_5,25.0,55.38
area_5,Other,52.33
area_1,Other,49.43
area_4,Other,54.04
area_4,,50.58
area_2,Other,49.62
area_4,Other,46.23
area_1,,53.16
area_1,Other,57.85
,,63.31
Other,,65.08
area_4,,47.13
area_3,Other,61.54
area_3,Other,67.98
area_4,Other,53.69
area_4,Other,46.04
area_5,Other,53.88
area_2,Other,56.96
area_1,Other,39.33
area_3,Other,71.12
area_3,Other,64.31
area_2,Other,54.56
area_1,Other,55.63
area_1,Other,55.9
area_3,,68.33
area_1,Other,65.02
area_3,Other,64.18
Other,,60.56
area_5,Other,69.58
area_1,Other,53.01
area_3,Other,70.35
area_5,Other,68.61
area_1,Other,55.93
area_3,Other,49.36
area_2,Other,59.13
area_3,Other,48.2
area_5,25.0,55.73
area_2,Other,59.83
area_1,,54.21
area_2,,57.74
area_1,Other,54.44
area_3,,58.28
area_3,Other,60.2
area_2,Other,58.23
area_5,,61.99
area_2,Other,56.18
area_3,Other,56.95
area_3,Other,73.42
area_3,Other,54.15
area_1,Other,57.09
area_2,,53.43
area_5,Other,68.16
area_4,Other,53.27
area_1,Other,58.05
area_3,Other,69.52
Other,,63.08
area_3,Other,58.88
,,66.37
,,66.37
area_5,25.0,65.41
area_1,Other,55.37
area_5,25.0,55.7
area_4,Other,42.64
area_2,Other,47.18
area_5,Other,67.03
area_3,Other,58.9
area_3,Other,68.1
area_1,Other,60.64
area_1,Other,56.03
area_1,Other,49.61
area_2,Other,52.49
area_2,Other,55.99
area_5,25.0,54.39
area_2,,55.98
area_5,Other,71.46
area_5,25.0,46.09
area_3,Other,57.26
area_3,Other,62.14
area_2,Other,59.04
area_2,Other,60.34
area_3,Other,59.22
area_5,25.0,50.18
area_3,Other,62.47
area_3,Other,67.9
area_3,Other,68.74
area_5,Other,65.26
area_5,25.0,56.68
area_1,Other,53.03
area_2,Other,61.24
area_1,Other,52.61
area_1,Other,56.32
,,54.84
area_5,Other,70.16
area_3,Other,71.82
area_3,Other,56.63
area_1,Other,59.24
area_2,Other,59.18
area_3,Other,63.93
area_3,Other,54.16
area_1,Other,47.83
area_5,25.0,59.63
area_5,Other,68.7
area_2,Other,60.22
area_4,Other,62.74
area_1,Other,58.39
area_3,,61.1
area_1,Other,63.11
area_3,Other,69.42
